SEM,NUM,STATUS
2016-23,174,1PR
2016-23,174,2RG
2016-23,172,3AE
2016-23,176,4DN
2016-23,56,5AS
2016-23,18,6FR
2016-24,41,1PR
2016-24,34,2RG
2016-24,27,3AE
2016-24,44,4DN
2016-24,5,5AS
2016-24,3,6FR
2016-25,296,1PR
2016-25,295,2RG
2016-25,297,3AE
2016-25,290,4DN
2016-25,224,5AS
2016-25,78,6FR
2016-26,458,1PR
2016-26,458,2RG
2016-26,466,3AE
2016-26,242,4DN
2016-26,282,5AS
2016-26,118,6FR
2016-27,549,1PR
2016-27,495,2RG
2016-27,477,3AE
2016-27,362,4DN
2016-27,246,5AS
2016-27,102,6FR
2016-28,498,1PR
2016-28,500,2RG
2016-28,404,3AE
2016-28,291,4DN
2016-28,229,5AS
2016-28,138,6FR
2016-29,2014,1PR
2016-29,1525,2RG
2016-29,1575,3AE
2016-29,1016,4DN
2016-29,1159,5AS
2016-29,462,6FR
2016-30,1637,1PR
2016-30,1558,2RG
2016-30,1415,3AE
2016-30,604,4DN
2016-30,354,5AS
2016-30,84,6FR
2016-31,1701,1PR
2016-31,1532,2RG
2016-31,1552,3AE
2016-31,1007,4DN
2016-31,964,5AS
2016-31,393,6FR
2016-32,1832,1PR
2016-32,1485,2RG
2016-32,1271,3AE
2016-32,832,4DN
2016-32,670,5AS
2016-32,49,6FR
2016-33,1638,1PR
2016-33,1501,2RG
2016-33,1286,3AE
2016-33,565,4DN
2016-33,354,5AS
2016-33,16,6FR
2016-34,1693,1PR
2016-34,1525,2RG
2016-34,1429,3AE
2016-34,242,4DN
2016-34,88,5AS
2016-35,2000,1PR
2016-35,1628,2RG
2016-35,1529,3AE
2016-35,315,4DN
2016-35,13,5AS
2016-35,16,6FR
2016-36,1678,1PR
2016-36,1589,2RG
2016-36,1616,3AE
2016-36,270,4DN
2016-36,65,5AS
2016-37,2133,1PR
2016-37,1583,2RG
2016-37,1599,3AE
2016-37,163,4DN
2016-37,60,5AS
2016-37,10,6FR
